Date,Open,High,Low,Close,Adj Close,Volume
2023-11-10,17350.869141,17350.869141,17177.529297,17203.259766,17203.259766,1674484500
2023-11-13,17263.000000,17456.080078,17126.609375,17426.210938,17426.210938,1440269500
2023-11-14,17495.099609,17565.220703,17358.890625,17396.859375,17396.859375,1449318000
2023-11-15,17836.650391,18102.279297,17766.220703,18079.000000,18079.000000,2908679700
2023-11-16,18174.689453,18174.689453,17722.859375,17832.820313,17832.820313,1880199400
2023-11-17,17584.320313,17631.039063,17413.460938,17454.189453,17454.189453,1945034800
2023-11-20,17625.839844,17788.900391,17532.730469,17778.070313,17778.070313,1964565600
2023-11-21,17932.539063,18057.619141,17689.009766,17733.890625,17733.890625,2090432200
2023-11-22,17736.400391,17796.859375,17650.490234,17734.599609,17734.599609,1235837700
2023-11-23,17680.050781,17927.359375,17577.310547,17910.839844,17910.839844,1671974300
2023-11-24,17771.750000,17771.750000,17545.609375,17559.419922,17559.419922,1298211800
2023-11-27,17677.519531,17677.519531,17358.240234,17525.060547,17525.060547,1502728300
2023-11-28,17541.480469,17541.480469,17303.820313,17354.140625,17354.140625,1785765500
2023-11-29,17359.080078,17359.080078,16881.980469,16993.439453,16993.439453,2810136500
2023-11-30,16985.179688,17068.259766,16863.050781,17042.880859,17042.880859,3013993300
2023-12-01,17019.169922,17038.980469,16830.300781,16830.300781,16830.300781,2434410800
2023-12-04,16919.080078,16941.910156,16617.029297,16646.050781,16646.050781,2476132300
2023-12-05,16606.539063,16606.539063,16228.519531,16327.860352,16327.860352,2682379700
2023-12-06,16311.959961,16600.359375,16234.839844,16463.259766,16463.259766,1986768900
2023-12-07,16376.440430,16376.440430,16157.980469,16345.889648,16345.889648,1947345700
2023-12-08,16373.440430,16464.140625,16249.150391,16334.370117,16334.370117,1877235700
2023-12-11,16149.059570,16276.879883,15972.309570,16201.490234,16201.490234,2532290600
2023-12-12,16236.059570,16420.970703,16157.679688,16374.500000,16374.500000,1980791700
2023-12-13,16311.709961,16326.950195,16145.250000,16228.750000,16228.750000,1863333100
2023-12-14,16419.740234,16577.750000,16319.219727,16402.189453,16402.189453,2341652000
2023-12-15,16610.699219,16964.330078,16610.699219,16792.189453,16792.189453,3900268500
2023-12-18,16669.820313,16713.410156,16572.880859,16629.230469,16629.230469,1566620000
2023-12-19,16551.439453,16579.550781,16408.019531,16505.000000,16505.000000,1521452800
2023-12-20,16647.949219,16741.050781,16549.490234,16613.810547,16613.810547,1647320700
2023-12-21,16455.140625,16649.570313,16444.730469,16621.130859,16621.130859,1404417200
2023-12-22,16743.060547,16857.839844,16271.500000,16340.410156,16340.410156,2197553900
2023-12-27,16561.779297,16673.570313,16439.259766,16624.839844,16624.839844,2228051300
2023-12-28,16678.230469,17086.099609,16644.429688,17043.529297,17043.529297,2301329400
